config_type,n,rel_F_RMSE_pct,mean_meV_A,median_meV_A,p90_meV_A,p95_meV_A,max_meV_A,shape_guess
FORCED_Naf1.0PtO_neb_img03,1,23.08107800130977,80.91668577456863,80.91668577456863,80.91668577456863,80.91668577456863,80.91668577456863,broad/smooth
ptodisnaf_optimised_structure,1,22.99853099192646,50.631830763142126,50.631830763142126,50.631830763142126,50.631830763142126,50.631830763142126,broad/smooth
Dry0.25PtO2,5,22.967880418436255,63.9911538673932,47.928824305064516,101.73482793020892,116.42185140268275,131.1088748751566,broad/smooth
Wet0.375PtOH2,2,21.54163374167944,52.439251873929166,52.439251873929166,54.2977252389345,54.53003440956016,54.76234358018583,broad/smooth
Wet0.25PtOH,2,21.515933570790864,57.44420854107618,57.44420854107618,61.49599643954343,62.00246992685184,62.50894341416024,broad/smooth
Dry0.75PtOH,8,21.503251900315956,79.02655396918136,40.879021049072264,153.87248319623203,239.7636277748549,325.65477235347805,broad/smooth
FORCED_7PtGraph_sol,1,21.002552150269977,41.38650000796848,41.38650000796848,41.38650000796848,41.38650000796848,41.38650000796848,broad/smooth
FORCED_Close0.25Pt_neb_img09,1,20.99570876230081,76.97189947610813,76.97189947610813,76.97189947610813,76.97189947610813,76.97189947610813,broad/smooth
Wet1.0PtO2,4,20.96659169024218,57.8134683494726,54.933186656174826,65.15183417635448,66.98064051482251,68.80944685329054,broad/smooth
ptdissolved,1,19.951064344141372,74.90129864724683,74.90129864724683,74.90129864724683,74.90129864724683,74.90129864724683,broad/smooth
FORCED_Chair4x4sat_sol,1,19.3711276044213,44.99347320612429,44.99347320612429,44.99347320612429,44.99347320612429,44.99347320612429,broad/smooth
Dry1.0PtOH2,6,19.090627073162548,70.57771961196609,52.41528390601459,108.37395241594382,116.10241857386478,123.83088473178573,broad/smooth
fps_naf_naf_framesv1_recalibrated,10,18.831770078059314,79.79940019267772,81.87974129343621,86.76420805340453,87.43423895439341,88.10426985538227,broad/smooth
Dry0.75PtOH2,2,18.638638981197026,59.99868897996143,59.99868897996143,72.58790174407086,74.16155333958454,75.73520493509822,broad/smooth
FORCED_Close0.75PtO_neb_img04,1,18.555602032769574,74.40977964051369,74.40977964051369,74.40977964051369,74.40977964051369,74.40977964051369,broad/smooth
FORCED_Naf0.75PtOH_neb_img09,1,18.138895855799962,76.60823801348803,76.60823801348803,76.60823801348803,76.60823801348803,76.60823801348803,broad/smooth
2pttopoh,1,18.077316784446545,63.94039275109097,63.94039275109097,63.94039275109097,63.94039275109097,63.94039275109097,broad/smooth
FORCED_Close0.25PtOH_neb_img06,1,17.977598106605324,74.82459737951356,74.82459737951356,74.82459737951356,74.82459737951356,74.82459737951356,broad/smooth
Dry0.0Pt,15,17.9375881112761,25.66778276327589,21.470221383731374,35.113031744482754,43.2994023058888,61.0757261101527,broad/smooth
Wet0.375PtO,3,17.86816126110521,52.78630997410349,51.44996592357522,54.88260746485395,55.31168765751379,55.740767850173626,broad/smooth
Dry0.25PtOH2,5,17.141336372066803,54.85557049826235,51.835872876094875,77.52985005661434,86.09423090352905,94.65861175044378,broad/smooth
Dry1.0Pt,3,16.642241986588687,53.983508106147816,57.08912972032913,57.356596579657314,57.390029937073336,57.42346329448936,broad/smooth
FORCED_Wet0.375PtOH2_neb_img07,1,15.723717854940062,59.617245118306315,59.617245118306315,59.617245118306315,59.617245118306315,59.617245118306315,broad/smooth
ptvn0.375_optimised_structure,1,15.673882982407513,71.83234441256296,71.83234441256296,71.83234441256296,71.83234441256296,71.83234441256296,broad/smooth
Dry1.0PtO,5,15.636943936580375,58.67283229730619,41.498243803584224,97.9297983334014,116.34313431584191,134.75647029828247,broad/smooth
ptohdisnaf_optimised_structure,1,15.540442548005974,57.00025660980275,57.00025660980275,57.00025660980275,57.00025660980275,57.00025660980275,broad/smooth
FORCED_Close0.375PtOH2_neb_img06,1,15.47309506088375,87.15809301316952,87.15809301316952,87.15809301316952,87.15809301316952,87.15809301316952,broad/smooth
Dry1.0PtO2,6,15.408229033287967,58.647496156207204,51.12620526950019,81.72923673997957,91.77413189148811,101.81902704299664,broad/smooth
FORCED_Close0.75PtOH2_neb_img04,1,15.316792717294113,70.64622111763619,70.64622111763619,70.64622111763619,70.64622111763619,70.64622111763619,broad/smooth
FORCED_Close0.25PtO_neb_img09,1,14.713117080189884,74.69080476342977,74.69080476342977,74.69080476342977,74.69080476342977,74.69080476342977,broad/smooth
Dry0.25PtO,6,14.063247651006092,37.360796812566385,36.258232947969155,48.51823845949593,52.47806873662192,56.43789901374791,broad/smooth
Dry0.25Pt,17,14.018215699745438,30.65561828068387,26.645975262177476,44.37771402616438,49.08102619557449,57.379328689909585,broad/smooth
FORCED_Nafion_single_dry_neb_img00,1,14.011555835385794,127.52637001165229,127.52637001165229,127.52637001165229,127.52637001165229,127.52637001165229,broad/smooth
Dry0.75PtO,4,13.534329865162533,45.224732142516466,46.246052413626686,56.63530202497805,57.66971599394048,58.70412996290291,broad/smooth
FORCED_Naf0.75PtOH_neb_img08,1,13.485077526924877,82.6361466526557,82.6361466526557,82.6361466526557,82.6361466526557,82.6361466526557,broad/smooth
FORCED_Dry0.25Pt_neb_img00,1,13.418896706127015,44.664344882807235,44.664344882807235,44.664344882807235,44.664344882807235,44.664344882807235,broad/smooth
Dry0.75Pt,6,13.093224995818412,43.50714793697833,40.31276016844966,54.193415944949116,58.93964933234419,63.68588271973927,broad/smooth
Dry0.375Pt,4,12.948569401938322,49.4152347864588,44.67071637539567,66.70397041097769,70.2262080440384,73.74844567709914,broad/smooth
Dry1.0PtOH,1,12.830148005183826,44.43677174528528,44.43677174528528,44.43677174528528,44.43677174528528,44.43677174528528,broad/smooth
FORCED_Wet0.375PtOH_neb_img07,1,12.751202465731364,55.994998937086606,55.994998937086606,55.994998937086606,55.994998937086606,55.994998937086606,broad/smooth
ptnafbulkdismd_optimised_structure,1,12.565616559515774,79.86201867353341,79.86201867353341,79.86201867353341,79.86201867353341,79.86201867353341,broad/smooth
FORCED_Dry0.25Pt_neb_img11,1,12.546076374103935,36.96995867818597,36.96995867818597,36.96995867818597,36.96995867818597,36.96995867818597,broad/smooth
Dry0.375PtOH2,4,12.495797867272568,43.30617924203084,43.220189559321156,45.97576101227427,46.07017803810875,46.164595063943224,broad/smooth
